nome,categoria,url,porcao,calorias,carboidratos,proteinas,gorduras_totais,gorduras_saturadas,fibras,acucares,sodio
VANILLA WHEY,,https://www.essentialnutrition.com.br/vanilla-whey-baunilha-sache,"Porção: 25g
(1 sachê)",88.0,0.0,22.0,0.0,0.0,0.0,0.0,89.0
VEGGIE PROTEIN VANILLA,,https://www.essentialnutrition.com.br/veggie-protein-vanilla-baunilha,"Porção: 30g
(1 colher-medida)",123.0,0.8,22.0,3.5,0.5,1.6,0.0,310.0
CHOCOLIFT BE TRUTH,,https://www.essentialnutrition.com.br/chocollift-be-truth-chocolate-branco-proteico-box,"Porção: 40g
(1 unidade)",521.0,21.0,17.0,41.0,26.0,20.0,1.6,59.0
IMMUNO WHEY BAUNILHA,,https://www.essentialnutrition.com.br/immuno-whey-baunilha,"Porção: 25g
(1 colher-medida)",88.0,0.0,22.0,0.0,0.0,0.0,0.0,100.0
XYLITOL,,https://www.essentialnutrition.com.br/xylitol-adocante-natural,"Porção: 3,33g
(1 colher de chá)",238.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
OMEGA VISION,,https://www.essentialnutrition.com.br/omega-vision-suplemento-para-visao,"Quantidade por porção: 2g
(2 cápsulas)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIT C 4 PROTECT,,https://www.essentialnutrition.com.br/vit-c-4-protect-vitamina-c,"Porção: 2g
(3 capsulas)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPLIFT,,https://www.essentialnutrition.com.br/uplift-cafeina-com-oleo-de-cartamo,"Porção: 1,7g
(2 cápsulas)",9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AMINOLIFT,,https://www.essentialnutrition.com.br/aminolift-tangerina-box-aminoacidos-magnesio-vitamina-b6,"Porção: 12,5g
(1 sachê)",14.0,2.9,0.0,0.0,0.0,1.6,0.0,16.0
FIBER BIOME LARANJA,,https://www.essentialnutrition.com.br/fiber-biome-blend-fibras-laranja,Porção: 11g (1 colher-medida),18.0,0.6,0.0,0.0,0.0,9.0,0.0,28.0
CAPPUCCINO WHEY,,https://www.essentialnutrition.com.br/cappuccino-whey-protein,"Porção: 30g
(1 colher-medida)",104.0,2.9,22.0,0.5,0.2,0.7,0.0,93.0
SUPER OMEGA-3 TG,,https://www.essentialnutrition.com.br/super-omega-3-tg-90-caps,,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
CAPPUCCINO WHEY,,https://www.essentialnutrition.com.br/cappuccino-whey-protein-box,"Porção: 30g
(1 sachê)",104.0,2.9,22.0,0.5,0.2,0.7,0.0,93.0
MUSCLE SYNERGY PÊSSEGO E FRUTAS TROPICAIS,,https://www.essentialnutrition.com.br/muscle-synergy-suplemento-proteico,"Porção: 30,3g
(1 colher-medida)",64.0,1.9,14.0,0.0,0.0,1.3,0.0,122.0
VEGGIE PROTEIN BANANA COM CANELA,,https://www.essentialnutrition.com.br/veggie-protein-banana-com-canela,"Porção: 33g
(1 colher-medida)",134.0,3.6,22.0,3.5,0.0,2.1,2.0,282.0
GLUTAMINA,,https://www.essentialnutrition.com.br/glutamina-120-doses,"Porção: 5g (1 colher-medida, conforme marcação)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMEGA GOLDEN,,https://www.essentialnutrition.com.br/omega-golden-curcumina-astaxantina,"Porção: 2,4g (2 cápsulas)",12.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
CHOCOLIFT BE UNIQUE,,https://www.essentialnutrition.com.br/chocolift-be-unique-chocolate-whey-protein-caixa,Porção: 40g (1 unidade),473.0,33.0,21.0,35.0,22.0,7.1,0.0,51.0
SWEETLIFT COOK,,https://www.essentialnutrition.com.br/sweetlift-cook-adocante-para-uso-culinario,"Porção: 10g
(1 colher de sopa)",131.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
CACAO WHEY,,https://www.essentialnutrition.com.br/cacao-whey-protein-chocolate,"Porção: 28g
(1 colher-medida)",104.0,1.9,22.0,0.9,0.5,1.6,0.0,89.0
HEAT UP,,https://www.essentialnutrition.com.br/heat-up-pre-treino,Porção: 7g (1 stick),4.0,0.8,0.0,0.0,0.0,0.5,0.0,5.0
SUPER OMEGA-3 TG,,https://www.essentialnutrition.com.br/super-omega-3-tg-240-caps,"Porção: 4,3g
(6 cápsulas)",27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLAGEN SKIN CRANBERRY,,https://www.essentialnutrition.com.br/collagen-skin-cranberry,"Porção: 11g
(1 colher-medida)",37.0,0.8,8.4,0.0,0.0,0.0,0.0,106.0
